SMILES,QED,target_qed_bin
N,0.398,4
O,0.328,4
C,0.360,4
C,0.360,4
C,0.360,4
N,0.398,4
C,0.360,4
S,0.356,4
F,0.351,4
C,0.360,4
C,0.360,4
N,0.398,4
C,0.360,4
OC,0.385,4
BC,0.319,4
C,0.360,4
O,0.328,4
FC,0.367,4
C,0.360,4
B,0.288,4
O,0.328,4
N,0.398,4
F,0.351,4
C,0.360,4
O,0.328,4
N,0.398,4
CC,0.373,4
CN,0.385,4
S,0.356,4
C,0.360,4
B,0.288,4
O,0.328,4
F,0.351,4
O,0.328,4
N,0.398,4
O,0.328,4
C,0.360,4
O,0.328,4
CO,0.385,4
S,0.356,4
C,0.360,4
N,0.398,4
B,0.288,4
C,0.360,4
C,0.360,4
S,0.356,4
C,0.360,4
O,0.328,4
N-CCC,0.463,4
C,0.360,4
CC,0.373,4
SO,0.300,4
N,0.398,4
N,0.398,4
